#BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
    363       1.6806785e+00       2.0533182e+00       2.8804771e-02
    364       1.6807537e+00       2.0522946e+00       2.8743816e-02
    365       1.6807750e+00       2.0512768e+00       2.8683083e-02
    366       1.6807408e+00       2.0502644e+00       2.8622575e-02
    367       1.6806506e+00       2.0492573e+00       2.8562297e-02
    368       1.6805039e+00       2.0482552e+00       2.8502254e-02
    369       1.6803005e+00       2.0472581e+00       2.8442450e-02
    370       1.6800405e+00       2.0462656e+00       2.8382889e-02
    371       1.6797241e+00       2.0452776e+00       2.8323575e-02
    372       1.6793519e+00       2.0442939e+00       2.8264513e-02
    373       1.6789249e+00       2.0433144e+00       2.8205705e-02
    374       1.6784441e+00       2.0423388e+00       2.8147156e-02
    375       1.6779106e+00       2.0413670e+00       2.8088868e-02
    376       1.6773264e+00       2.0403988e+00       2.8030845e-02
    377       1.6766936e+00       2.0394341e+00       2.7973089e-02
    378       1.6760136e+00       2.0384726e+00       2.7915604e-02
    379       1.6752884e+00       2.0375144e+00       2.7858390e-02
    380       1.6745201e+00       2.0365591e+00       2.7801451e-02
    381       1.6737111e+00       2.0356068e+00       2.7744789e-02
    382       1.6728635e+00       2.0346572e+00       2.7688404e-02
    383       1.6719802e+00       2.0337102e+00       2.7632298e-02
    384       1.6710638e+00       2.0327658e+00       2.7576473e-02
    385       1.6701171e+00       2.0318239e+00       2.7520928e-02
    386       1.6691426e+00       2.0308843e+00       2.7465665e-02
    387       1.6681436e+00       2.0299470e+00       2.7410683e-02
    388       1.6671237e+00       2.0290119e+00       2.7355983e-02
    389       1.6660862e+00       2.0280789e+00       2.7301564e-02
    390       1.6650339e+00       2.0271480e+00       2.7247425e-02
    391       1.6639693e+00       2.0262192e+00       2.7193566e-02
    392       1.6628947e+00       2.0252923e+00       2.7139985e-02
    393       1.6618128e+00       2.0243674e+00       2.7086681e-02
    394       1.6607264e+00       2.0234445e+00       2.7033653e-02
    395       1.6596385e+00       2.0225235e+00       2.6980898e-02
    396       1.6585521e+00       2.0216043e+00       2.6928415e-02
    397       1.6574702e+00       2.0206871e+00       2.6876202e-02
    398       1.6563957e+00       2.0197718e+00       2.6824255e-02
    399       1.6553311e+00       2.0188584e+00       2.6772572e-02
    400       1.6542783e+00       2.0179470e+00       2.6721151e-02
    401       1.6532396e+00       2.0170375e+00       2.6669989e-02
    402       1.6522176e+00       2.0161300e+00       2.6619081e-02
    403       1.6512145e+00       2.0152245e+00       2.6568425e-02
    404       1.6502322e+00       2.0143210e+00       2.6518018e-02
    405       1.6492726e+00       2.0134197e+00       2.6467856e-02
    406       1.6483380e+00       2.0125205e+00       2.6417934e-02
    407       1.6474306e+00       2.0116234e+00       2.6368250e-02
    408       1.6465529e+00       2.0107287e+00       2.6318800e-02
    409       1.6457068e+00       2.0098362e+00       2.6269578e-02
    410       1.6448931e+00       2.0089461e+00       2.6220582e-02
    411       1.6441129e+00       2.0080584e+00       2.6171806e-02
    412       1.6433684e+00       2.0071732e+00       2.6123247e-02
    413       1.6426611e+00       2.0062906e+00       2.6074900e-02
    414       1.6419919e+00       2.0054107e+00       2.6026760e-02
    415       1.6413622e+00       2.0045335e+00       2.5978824e-02
    416       1.6407732e+00       2.0036590e+00       2.5931087e-02
    417       1.6402260e+00       2.0027875e+00       2.5883545e-02
    418       1.6397224e+00       2.0019189e+00       2.5836192e-02
    419       1.6392634e+00       2.0010534e+00       2.5789024e-02
    420       1.6388505e+00       2.0001910e+00       2.5742036e-02
    421       1.6384855e+00       1.9993319e+00       2.5695225e-02
    422       1.6381687e+00       1.9984760e+00       2.5648585e-02
    423       1.6379010e+00       1.9976236e+00       2.5602111e-02
    424       1.6376841e+00       1.9967747e+00       2.5555799e-02
    425       1.6375196e+00       1.9959294e+00       2.5509644e-02
    426       1.6374082e+00       1.9950878e+00       2.5463641e-02
    427       1.6373514e+00       1.9942500e+00       2.5417785e-02
    428       1.6373503e+00       1.9934161e+00       2.5372073e-02
    429       1.6374064e+00       1.9925862e+00       2.5326498e-02
    430       1.6375215e+00       1.9917605e+00       2.5281057e-02
    431       1.6376975e+00       1.9909390e+00       2.5235743e-02
    432       1.6379359e+00       1.9901219e+00       2.5190553e-02
    433       1.6382377e+00       1.9893092e+00       2.5145482e-02
    434       1.6386048e+00       1.9885011e+00       2.5100524e-02
    435       1.6390385e+00       1.9876978e+00       2.5055674e-02
    436       1.6395399e+00       1.9868993e+00       2.5010928e-02
    437       1.6401106e+00       1.9861057e+00       2.4966281e-02
    438       1.6407516e+00       1.9853172e+00       2.4921728e-02
    439       1.6414646e+00       1.9845339e+00       2.4877265e-02
    440       1.6422524e+00       1.9837560e+00       2.4832885e-02
    441       1.6431161e+00       1.9829836e+00       2.4788585e-02
    442       1.6440559e+00       1.9822168e+00       2.4744359e-02
    443       1.6450724e+00       1.9814558e+00       2.4700204e-02
    444       1.6461663e+00       1.9807006e+00       2.4656114e-02
    445       1.6473385e+00       1.9799515e+00       2.4612084e-02
    446       1.6485899e+00       1.9792085e+00       2.4568112e-02
    447       1.6499208e+00       1.9784718e+00       2.4524191e-02
    448       1.6513312e+00       1.9777416e+00       2.4480319e-02
    449       1.6528213e+00       1.9770180e+00       2.4436490e-02
    450       1.6543916e+00       1.9763010e+00       2.4392702e-02
    451       1.6560422e+00       1.9755909e+00       2.4348950e-02
    452       1.6577717e+00       1.9748878e+00       2.4305231e-02
    453       1.6595783e+00       1.9741917e+00       2.4261542e-02
    454       1.6614608e+00       1.9735029e+00       2.4217879e-02
    455       1.6634176e+00       1.9728214e+00       2.4174240e-02
    456       1.6654470e+00       1.9721473e+00       2.4130622e-02
    457       1.6675468e+00       1.9714808e+00       2.4087023e-02
    458       1.6697150e+00       1.9708219e+00       2.4043442e-02
