--------------------------------------------------
SIMULATED ANNEALING
--------------------------------------------------
 BETA:            MU:         SIGMA:                <H>:                ERR:         ACC_X:     ACC_BOLTZ:
1510.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.52207        0.00000
1520.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.54297        0.00000
1520.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.51229        0.00000
1530.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.52334        0.02941
1530.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.51336        0.00000
1540.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.55567        0.00000
1540.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.54773        0.00000
1550.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53559        0.00000
1550.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.52360        0.15446
1560.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.52321        0.00000
1560.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53206        0.00003
1570.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.51098        0.00000
1570.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.51159        0.00001
1580.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.54669        0.00000
1580.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.51450        0.00031
1590.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.54985        0.00000
1590.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.51928        0.02227
1600.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.52454        0.01620
1600.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53789        0.00000
1610.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.54706        0.00000
1610.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.52529        0.00591
1620.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53586        0.07001
1620.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.54430        0.00000
1630.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53019        0.04391
1630.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53053        0.09639
1640.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.54026        0.00000
1640.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.55339        0.00000
1650.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.54528        0.00000
1650.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53273        0.19111
1660.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.52510        0.00000
1660.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.53934        0.00002
1670.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.52507        0.03498
1670.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.55150        0.00000
1680.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.52343        0.00000
1680.0        0.81904        0.62189       -0.4436142854        0.0007049661        0.55082        0.00000
